GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Gene_name,NR_ID,NR_annotation,GO_ID,GO_term,KO_ID,KO_gene,KO_Hyperlink,KEGG_Pathway,Pathway_ID,KOG_ID,KOG_annotation,Swiss-Prot_ID,Swiss-Prot_annotation
MGARP,1224,36.01,35.21,37,14.44,14.17,12.5,1.461631115,1.29E-32,1.29E-32,MGARP,NP_116012.2,protein MGARP [Homo sapiens],GO:0008090;GO:0071383;GO:0016021;GO:0010822;GO:0097211;GO:0019896;GO:0071456;GO:1904115;GO:0006626;GO:0005739;GO:0008089;GO:0031307,retrograde axonal transport;cellular response to steroid hormone stimulus;integral component of membrane;positive regulation of mitochondrion organization;cellular response to gonadotropin-releasing hormone;axonal transport of mitochondrion;cellular response to hypoxia;axon cytoplasm;protein targeting to mitochondrion;mitochondrion;anterograde axonal transport;integral component of mitochondrial outer membrane,-,-,-,-,-,-,-,sp|Q8TDB4|HUMMR_HUMAN,Protein MGARP OS=Homo sapiens OX=9606 GN=MGARP PE=1 SV=1
MFSD13A,1886,1.3,1.14,0.99,0.3,0.49,0.3,1.656350857,0.001977774,0.001977774,MFSD13A,XP_011538469.1;PNI81883.1;NP_079065.2;XP_016872149.1,transmembrane protein 180 isoform X3 [Homo sapiens];MFSD13A isoform 2 [Pan troglodytes];transmembrane protein 180 [Homo sapiens];transmembrane protein 180 isoform X4 [Homo sapiens],GO:0016021,integral component of membrane,-,-,-,-,-,-,-,sp|Q14CX5|MF13A_HUMAN,Transmembrane protein 180 OS=Homo sapiens OX=9606 GN=MFSD13A PE=1 SV=1
ZNF503-AS2,2462,0.85,1.19,1.22,0.63,0.49,0.53,1.071660681,0.011280562,0.011280562,ZNF503-AS2,-,-,-,-,-,-,-,-,-,-,-,-,-
MGAT3,4971,0.29,0.4,0.45,0.15,0.17,0.14,1.410196981,0.004359812,0.004359812,MGAT3,NP_001091740.1,"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase [Homo sapiens]",GO:0008104;GO:0050890;GO:0006487;GO:0016020;GO:0006044;GO:0034599;GO:0016021;GO:0030334;GO:1902966;GO:0000139;GO:0050435;GO:0003830;GO:1905166;GO:0016757,"protein localization;cognition;protein N-linked glycosylation;membrane;N-acetylglucosamine metabolic process;cellular response to oxidative stress;integral component of membrane;regulation of cell migration;positive regulation of protein localization to early endosome;Golgi membrane;amyloid-beta metabolic process;beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity;negative regulation of lysosomal protein catabolic process;glycosyltransferase activity",K00737,MGAT3,http://www.genome.jp/dbget-bin/www_bget?ko:K00737,N-Glycan biosynthesis,ko00510,-,-,sp|Q09327|MGAT3_HUMAN,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase OS=Homo sapiens OX=9606 GN=MGAT3 PE=1 SV=3"
PALM,2862,3.44,4.18,3.81,2.44,1.63,1.82,1.02651532,5.46E-06,5.46E-06,PALM,NP_002570.2;XP_005259622.1;NP_001035224.1;XP_016882339.1;XP_018871931.2,paralemmin-1 isoform 1 [Homo sapiens];paralemmin-1 isoform X1 [Homo sapiens];paralemmin-1 isoform 2 [Homo sapiens];paralemmin-1 isoform X3 [Homo sapiens];paralemmin-1 isoform X1 [Gorilla gorilla gorilla],GO:0007194;GO:0005737;GO:0005654;GO:0044309;GO:0031235;GO:0051491;GO:0008360;GO:0071257;GO:0016323;GO:0005886;GO:0016327;GO:0007193;GO:0031527;GO:0060160;GO:0030175;GO:0060074;GO:0030424;GO:0014069;GO:0072659;GO:0016020;GO:0031750;GO:0031410;GO:0007010;GO:0032591,negative regulation of adenylate cyclase activity;cytoplasm;nucleoplasm;neuron spine;intrinsic component of the cytoplasmic side of the plasma membrane;positive regulation of filopodium assembly;regulation of cell shape;cellular response to electrical stimulus;basolateral plasma membrane;plasma membrane;apicolateral plasma membrane;adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway;filopodium membrane;negative regulation of dopamine receptor signaling pathway;filopodium;synapse maturation;axon;postsynaptic density;protein localization to plasma membrane;membrane;D3 dopamine receptor binding;cytoplasmic vesicle;cytoskeleton organization;dendritic spine membrane,K16519,AKAP2,http://www.genome.jp/dbget-bin/www_bget?ko:K16519,-,-,-,-,sp|O75781|PALM_HUMAN,Paralemmin-1 OS=Homo sapiens OX=9606 GN=PALM PE=1 SV=2
ROR2,2798,0.15,0.21,0.36,0.06,0,0.09,2.820628008,0.00384416,0.00384416,ROR2,NP_004551.2;XP_011900163.1;NP_001305133.1;XP_016870251.1,tyrosine-protein kinase transmembrane receptor ROR2 isoform 1 precursor [Homo sapiens];PREDICTED: tyrosine-protein kinase transmembrane receptor ROR2 isoform X2 [Cercocebus atys];tyrosine-protein kinase transmembrane receptor ROR2 isoform 2 precursor [Homo sapiens];tyrosine-protein kinase transmembrane receptor ROR2 isoform X1 [Homo sapiens],GO:0030335;GO:0031435;GO:0001502;GO:0005874;GO:0014068;GO:0030509;GO:0009986;GO:1905517;GO:0042733;GO:0046872;GO:0017147;GO:0030539;GO:0007254;GO:0030538;GO:0004672;GO:0004714;GO:0090263;GO:0045651;GO:0016021;GO:0007165;GO:1900020;GO:0043410;GO:0016020;GO:0005887;GO:0000166;GO:0090090;GO:0030669;GO:0008285;GO:0005524;GO:0007275;GO:0033674;GO:0007223;GO:0005886;GO:0060395;GO:0051968;GO:0030425;GO:0043507;GO:0010976;GO:0030282;GO:0007224;GO:1904929;GO:0005109;GO:0007169;GO:0001756;GO:0060071;GO:0045165;GO:0043235;GO:0045893;GO:0014002;GO:0042472;GO:0043025,"positive regulation of cell migration;mitogen-activated protein kinase kinase kinase binding;cartilage condensation;microtubule;positive regulation of phosphatidylinositol 3-kinase signaling;BMP signaling pathway;cell surface;macrophage migration;embryonic digit morphogenesis;metal ion binding;Wnt-protein binding;male genitalia development;JNK cascade;embryonic genitalia morphogenesis;protein kinase activity;transmembrane receptor protein tyrosine kinase activity;positive regulation of canonical Wnt signaling pathway;positive regulation of macrophage differentiation;integral component of membrane;signal transduction;positive regulation of protein kinase C activity;positive regulation of MAPK cascade;membrane;integral component of plasma membrane;nucleotide binding;negative regulation of canonical Wnt signaling pathway;clathrin-coated endocytic vesicle membrane;negative regulation of cell population proliferation;ATP binding;multicellular organism development;positive regulation of kinase activity;Wnt signaling pathway, calcium modulating pathway;plasma membrane;SMAD protein signal transduction;positive regulation of synaptic transmission, glutamatergic;dendrite;positive regulation of JUN kinase activity;positive regulation of neuron projection development;bone mineralization;smoothened signaling pathway;coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway;frizzled binding;transmembrane receptor protein tyrosine kinase signaling pathway;somitogenesis;Wnt signaling pathway, planar cell polarity pathway;cell fate commitment;receptor complex;positive regulation of transcription, DNA-templated;astrocyte development;inner ear morphogenesis;neuronal cell body",K05123,"ROR2,NTRKR2",http://www.genome.jp/dbget-bin/www_bget?ko:K05123,Wnt signaling pathway,ko04310,KOG1026,Nerve growth factor receptor TRKA and related tyrosine kinases,sp|Q01974|ROR2_HUMAN,Tyrosine-protein kinase transmembrane receptor ROR2 OS=Homo sapiens OX=9606 GN=ROR2 PE=1 SV=2
ACTC1,1479,0.16,0.05,0.13,1.01,0.51,1.27,-3.042984571,0.000295929,0.000295929,ACTC1,EPY73990.1;XP_025740209.1;KAF7644386.1,"actin, alpha cardiac muscle 1 isoform 1 [Camelus ferus];actin, alpha cardiac muscle 1 isoform X1 [Callorhinus ursinus];hypothetical protein LDENG_00222780 [Lucifuga dentata]",GO:0042493;GO:0098978;GO:0043066;GO:0055008;GO:0030048;GO:0072562;GO:0016020;GO:0016887;GO:0005615;GO:0070252;GO:0005925;GO:0060048;GO:0005829;GO:0060047;GO:0090131;GO:0005737;GO:0010628;GO:0017022;GO:0005884;GO:0030240;GO:0031032;GO:0005869;GO:0045202;GO:0007015;GO:0030017;GO:0045471;GO:0070062;GO:0055003;GO:0030049;GO:0044297;GO:0005524;GO:0031674;GO:0030175;GO:0033275;GO:0030027,response to xenobiotic stimulus;glutamatergic synapse;negative regulation of apoptotic process;cardiac muscle tissue morphogenesis;actin filament-based movement;blood microparticle;membrane;ATP hydrolysis activity;extracellular space;actin-mediated cell contraction;focal adhesion;cardiac muscle contraction;cytosol;heart contraction;mesenchyme migration;cytoplasm;positive regulation of gene expression;myosin binding;actin filament;skeletal muscle thin filament assembly;actomyosin structure organization;dynactin complex;synapse;actin filament organization;sarcomere;response to ethanol;extracellular exosome;cardiac myofibril assembly;muscle filament sliding;cell body;ATP binding;I band;filopodium;actin-myosin filament sliding;lamellipodium,K12314,ACTC1,http://www.genome.jp/dbget-bin/www_bget?ko:K12314,Dilated cardiomyopathy;Hypertrophic cardiomyopathy;Adrenergic signaling in cardiomyocytes;Cardiac muscle contraction,"ko05414,ko05410,ko04261,ko04260",KOG0676,Actin and related proteins,sp|P62739|ACTA_BOVIN;sp|Q3ZC07|ACTC_BOVIN,"Actin, aortic smooth muscle OS=Bos taurus OX=9913 GN=ACTA2 PE=1 SV=1;Actin, alpha cardiac muscle 1 OS=Bos taurus OX=9913 GN=ACTC1 PE=2 SV=1"
ENOX1,3100,1.39,1.72,1.07,0.7,0.63,0.52,1.199334605,0.000779799,0.000779799,ENOX1,NP_001334892.1;XP_024086549.1;XP_015294704.1;NP_001121087.1;XP_032150650.1,ecto-NOX disulfide-thiol exchanger 1 isoform a [Homo sapiens];uncharacterized protein LOC112128560 [Pongo abelii];PREDICTED: ecto-NOX disulfide-thiol exchanger 1 isoform X3 [Macaca fascicularis];ecto-NOX disulfide-thiol exchanger 1 isoform b [Homo sapiens];ecto-NOX disulfide-thiol exchanger 1 isoform X2 [Sapajus apella],GO:0003723;GO:0016491;GO:0007624;GO:0009897;GO:0005886,RNA binding;oxidoreductase activity;ultradian rhythm;external side of plasma membrane;plasma membrane,K24982,ENOX,http://www.genome.jp/dbget-bin/www_bget?ko:K24982,-,-,-,-,sp|Q8TC92|ENOX1_HUMAN,Ecto-NOX disulfide-thiol exchanger 1 OS=Homo sapiens OX=9606 GN=ENOX1 PE=1 SV=1
IPCEF1,6837,0.03,0.03,0.01,0,0,0,4.454377299,0.043760347,0.043760347,IPCEF1,NP_001124171.1;NP_056368.1,interactor protein for cytohesin exchange factors 1 isoform 1 [Homo sapiens];interactor protein for cytohesin exchange factors 1 isoform 2 [Homo sapiens],GO:0005344;GO:0016020;GO:0005829;GO:0006979;GO:0004601;GO:0005737;GO:0009966;GO:0015671;GO:0005886;GO:2001114;GO:0019904,oxygen carrier activity;membrane;cytosol;response to oxidative stress;peroxidase activity;cytoplasm;regulation of signal transduction;oxygen transport;plasma membrane;positive regulation of cellular response to hepatocyte growth factor stimulus;protein domain specific binding,K23795,IPCEF1,http://www.genome.jp/dbget-bin/www_bget?ko:K23795,-,-,-,-,sp|Q8WWN9|ICEF1_HUMAN,Interactor protein for cytohesin exchange factors 1 OS=Homo sapiens OX=9606 GN=IPCEF1 PE=1 SV=1
SMAD9,5575,2.61,2.42,2.55,6.21,6.17,7.11,-1.274390081,2.05E-23,2.05E-23,SMAD9,XP_005266461.1;XP_006719890.1;XP_005266458.1;XP_009425158.1;NP_001120689.1;NP_001244727.1;XP_009190047.1;XP_005266460.1,mothers against decapentaplegic homolog 9 isoform X4 [Homo sapiens];mothers against decapentaplegic homolog 9 isoform X1 [Homo sapiens];mothers against decapentaplegic homolog 9 isoform X2 [Homo sapiens];mothers against decapentaplegic homolog 9 isoform X3 [Pan troglodytes];mothers against decapentaplegic homolog 9 isoform a [Homo sapiens];mothers against decapentaplegic homolog 9 [Macaca mulatta];mothers against decapentaplegic homolog 9 isoform X3 [Papio anubis];mothers against decapentaplegic homolog 9 isoform X3 [Homo sapiens],GO:0003677;GO:0070411;GO:0006355;GO:0005634;GO:0030509;GO:0005667;GO:0071144;GO:0046872;GO:0005829;GO:0071773;GO:0000785;GO:0005737;GO:0005654;GO:0000981;GO:0000978;GO:0030514;GO:0009653;GO:0007179;GO:0071141;GO:0060395;GO:1901522;GO:0030154,"DNA binding;I-SMAD binding;regulation of transcription, DNA-templated;nucleus;BMP signaling pathway;transcription regulator complex;heteromeric SMAD protein complex;metal ion binding;cytosol;cellular response to BMP stimulus;chromatin;cytoplasm;nucleoplasm;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;negative regulation of BMP signaling pathway;anatomical structure morphogenesis;transforming growth factor beta receptor signaling pathway;SMAD protein complex;SMAD protein signal transduction;positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus;cell differentiation",K16791,"SMAD9,SMAD8",http://www.genome.jp/dbget-bin/www_bget?ko:K16791,Signaling pathways regulating pluripotency of stem cells;TGF-beta signaling pathway,"ko04550,ko04350",KOG3701,TGFbeta receptor signaling protein SMAD and related proteins,sp|O15198|SMAD9_HUMAN;sp|Q9JIW5|SMAD9_MOUSE,Mothers against decapentaplegic homolog 9 OS=Homo sapiens OX=9606 GN=SMAD9 PE=1 SV=1;Mothers against decapentaplegic homolog 9 OS=Mus musculus OX=10090 GN=Smad9 PE=1 SV=2
MYCBPAP,1716,0.15,0.1,0.29,0.03,0,0.03,3.298881923,0.015847659,0.015847659,MYCBPAP,XP_011523645.1;XP_005257783.1;XP_016880694.1;AEE61224.1;XP_011523644.1,MYCBP-associated protein isoform X5 [Homo sapiens];MYCBP-associated protein isoform X3 [Homo sapiens];MYCBP-associated protein isoform X1 [Homo sapiens];testis secretory sperm-binding protein Li 214e [Homo sapiens];MYCBP-associated protein isoform X4 [Homo sapiens],GO:0030154;GO:0007275;GO:0007268;GO:0045202;GO:0005737;GO:0016020;GO:0007283,cell differentiation;multicellular organism development;chemical synaptic transmission;synapse;cytoplasm;membrane;spermatogenesis,-,-,-,-,-,-,-,sp|Q8TBZ2|MYBPP_HUMAN,MYCBP-associated protein OS=Homo sapiens OX=9606 GN=MYCBPAP PE=1 SV=2
KCNJ5-AS1,3538,0.79,0.9,0.83,0.35,0.27,0.41,1.371246751,0.000640518,0.000640518,KCNJ5-AS1,-,-,-,-,-,-,-,-,-,-,-,-,-
GCNT4,5062,2.65,2.28,2.94,1.07,1.05,1.2,1.273261653,1.70E-10,1.70E-10,GCNT4,XP_011944676.1;XP_035147289.1;NP_001353666.1;XP_034815830.1,"PREDICTED: beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4 isoform X1 [Cercocebus atys];beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4 isoform X1 [Callithrix jacchus];beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4 [Homo sapiens];beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4 isoform X1 [Pan paniscus]",GO:0000139;GO:0016757;GO:0048729;GO:0060993;GO:0042403;GO:0048872;GO:0002121,Golgi membrane;glycosyltransferase activity;tissue morphogenesis;kidney morphogenesis;thyroid hormone metabolic process;homeostasis of number of cells;inter-male aggressive behavior,K09663,GCNT4,http://www.genome.jp/dbget-bin/www_bget?ko:K09663,Mucin type O-glycan biosynthesis,ko00512,-,-,sp|Q9P109|GCNT4_HUMAN,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4 OS=Homo sapiens OX=9606 GN=GCNT4 PE=2 SV=1"
S100A5,729,0,0.15,0,1,0.53,0.22,-4.118204449,0.023542756,0.023542756,S100A5,XP_011508162.1;XP_016857518.1,protein S100-A5 isoform X3 [Homo sapiens];protein S100-A5 isoform X1 [Homo sapiens],GO:0043025;GO:0005507;GO:0008270;GO:0005509;GO:0048306;GO:0042803;GO:0046914;GO:0005634,neuronal cell body;copper ion binding;zinc ion binding;calcium ion binding;calcium-dependent protein binding;protein homodimerization activity;transition metal ion binding;nucleus,K23762,"S100A5,S100D",http://www.genome.jp/dbget-bin/www_bget?ko:K23762,-,-,-,-,sp|P33763|S10A5_HUMAN,Protein S100-A5 OS=Homo sapiens OX=9606 GN=S100A5 PE=1 SV=2
KCNQ5,6197,0.5,0.54,0.34,1.09,1.12,0.86,-1.19068018,3.89E-05,3.89E-05,KCNQ5,NP_001153604.1;NP_062816.2;XP_024104489.1;XP_016866547.1;XP_024302260.1;NP_001153605.1;NP_001153606.1;NP_001153602.1;XP_024302261.1,potassium voltage-gated channel subfamily KQT member 5 isoform 3 [Homo sapiens];potassium voltage-gated channel subfamily KQT member 5 isoform 1 [Homo sapiens];potassium voltage-gated channel subfamily KQT member 5 isoform X2 [Pongo abelii];potassium voltage-gated channel subfamily KQT member 5 isoform X1 [Homo sapiens];potassium voltage-gated channel subfamily KQT member 5 isoform X2 [Homo sapiens];potassium voltage-gated channel subfamily KQT member 5 isoform 4 [Homo sapiens];potassium voltage-gated channel subfamily KQT member 5 isoform 5 [Homo sapiens];potassium voltage-gated channel subfamily KQT member 5 isoform 2 [Homo sapiens];potassium voltage-gated channel subfamily KQT member 5 isoform X3 [Homo sapiens],GO:0005887;GO:0008076;GO:0030118;GO:0016021;GO:0005251;GO:0005249;GO:0005516;GO:0071805;GO:0034765;GO:0005886,integral component of plasma membrane;voltage-gated potassium channel complex;clathrin coat;integral component of membrane;delayed rectifier potassium channel activity;voltage-gated potassium channel activity;calmodulin binding;potassium ion transmembrane transport;regulation of ion transmembrane transport;plasma membrane,K04930,"KCNQ5,KV7.5",http://www.genome.jp/dbget-bin/www_bget?ko:K04930,Cholinergic synapse,ko04725,-,-,sp|Q9NR82|KCNQ5_HUMAN,Potassium voltage-gated channel subfamily KQT member 5 OS=Homo sapiens OX=9606 GN=KCNQ5 PE=1 SV=3
LRRN4CL,2212,1.86,1.94,2.34,0.91,0.91,1.26,1.067798072,0.001306846,0.001306846,LRRN4CL,NP_981967.1,LRRN4 C-terminal-like protein precursor [Homo sapiens],GO:0016021,integral component of membrane,-,-,-,-,-,-,-,sp|Q8ND94|LRN4L_HUMAN,LRRN4 C-terminal-like protein OS=Homo sapiens OX=9606 GN=LRRN4CL PE=2 SV=1
DOCK3,8941,0.19,0.14,0.1,0.05,0.06,0.01,1.714559116,0.02350823,0.02350823,DOCK3,XP_030667544.1;XP_011531743.1;XP_033064808.1;XP_005264971.1;XP_005264974.1;XP_030667545.1;XP_030667543.1;XP_032017321.1;XP_016861316.1;XP_030667542.1;XP_030667541.1;XP_016861315.1,dedicator of cytokinesis protein 3 isoform X4 [Nomascus leucogenys];dedicator of cytokinesis protein 3 isoform X12 [Homo sapiens];dedicator of cytokinesis protein 3 isoform X8 [Trachypithecus francoisi];dedicator of cytokinesis protein 3 isoform X1 [Homo sapiens];dedicator of cytokinesis protein 3 isoform X4 [Homo sapiens];dedicator of cytokinesis protein 3 isoform X5 [Nomascus leucogenys];dedicator of cytokinesis protein 3 isoform X3 [Nomascus leucogenys];dedicator of cytokinesis protein 3 isoform X6 [Hylobates moloch];dedicator of cytokinesis protein 3 isoform X11 [Homo sapiens];dedicator of cytokinesis protein 3 isoform X2 [Nomascus leucogenys];dedicator of cytokinesis protein 3 isoform X1 [Nomascus leucogenys];dedicator of cytokinesis protein 3 isoform X9 [Homo sapiens],-,-,K05727,DOCK3,http://www.genome.jp/dbget-bin/www_bget?ko:K05727,-,-,KOG1998,Signaling protein DOCK180,sp|Q8IZD9|DOCK3_HUMAN,Dedicator of cytokinesis protein 3 OS=Homo sapiens OX=9606 GN=DOCK3 PE=1 SV=1
C7,5716,1.5,1.11,1.31,0.33,0.38,0.23,2.1182244,9.44E-13,9.44E-13,C7,NP_000578.2,complement component C7 precursor [Homo sapiens],GO:0006883;GO:0006958;GO:0006957;GO:0019835;GO:0005579;GO:0030449;GO:0070062;GO:0005576;GO:0045087;GO:0006956,"cellular sodium ion homeostasis;complement activation, classical pathway;complement activation, alternative pathway;cytolysis;membrane attack complex;regulation of complement activation;extracellular exosome;extracellular region;innate immune response;complement activation",K03996,C7,http://www.genome.jp/dbget-bin/www_bget?ko:K03996,Systemic lupus erythematosus;Coronavirus disease - COVID-19;Prion disease;Complement and coagulation cascades,"ko05322,ko05171,ko05020,ko04610",-,-,sp|P10643|CO7_HUMAN,Complement component C7 OS=Homo sapiens OX=9606 GN=C7 PE=1 SV=2
MAOA,3931,1.38,1.35,1.11,0.49,0.59,0.53,1.324146234,1.77E-05,1.77E-05,MAOA,XP_016799198.1,amine oxidase [flavin-containing] A [Pan troglodytes],GO:0005739;GO:0005829;GO:0016491,mitochondrion;cytosol;oxidoreductase activity,K00274,"MAO,aofH",http://www.genome.jp/dbget-bin/www_bget?ko:K00274,"Parkinson disease;Alcoholism;Amphetamine addiction;Cocaine addiction;Arginine and proline metabolism;Glycine, serine and threonine metabolism;Histidine metabolism;Phenylalanine metabolism;Tryptophan metabolism;Tyrosine metabolism;Drug metabolism - cytochrome P450;Dopaminergic synapse;Serotonergic synapse","ko05012,ko05034,ko05031,ko05030,ko00330,ko00260,ko00340,ko00360,ko00380,ko00350,ko00982,ko04728,ko04726",KOG0029,Amine oxidase,sp|P21397|AOFA_HUMAN,Amine oxidase [flavin-containing] A OS=Homo sapiens OX=9606 GN=MAOA PE=1 SV=1
VPS28,1001,1.74,0.75,0.46,0.07,0.16,0.58,2.038799914,0.048413917,0.048413917,VPS28,XP_005272381.1;XP_012328725.1;XP_036159608.1;XP_011831091.1;XP_024201153.1,vacuolar protein sorting-associated protein 28 homolog isoform X2 [Homo sapiens];vacuolar protein sorting-associated protein 28 homolog isoform X1 [Aotus nancymaae];vacuolar protein sorting-associated protein 28 homolog isoform X2 [Myotis myotis];PREDICTED: vacuolar protein sorting-associated protein 28 homolog isoform X1 [Mandrillus leucophaeus];vacuolar protein sorting-associated protein 28 homolog isoform X2 [Pan troglodytes],GO:2000397;GO:0000813;GO:0039702;GO:0005768;GO:0010008;GO:0043657;GO:0005829;GO:0032509;GO:0019058;GO:0015031;GO:0044877;GO:0045732;GO:0036258;GO:0031397;GO:0005737;GO:0043328;GO:0075733;GO:0043130;GO:0005886;GO:0016197;GO:0070062;GO:0031902;GO:0016236;GO:0043162;GO:0005769,positive regulation of ubiquitin-dependent endocytosis;ESCRT I complex;viral budding via host ESCRT complex;endosome;endosome membrane;host cell;cytosol;endosome transport via multivesicular body sorting pathway;viral life cycle;protein transport;protein-containing complex binding;positive regulation of protein catabolic process;multivesicular body assembly;negative regulation of protein ubiquitination;cytoplasm;protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway;intracellular transport of virus;ubiquitin binding;plasma membrane;endosomal transport;extracellular exosome;late endosome membrane;macroautophagy;ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway;early endosome,K12184,VPS28,http://www.genome.jp/dbget-bin/www_bget?ko:K12184,Endocytosis,ko04144,KOG3284,Vacuolar sorting protein VPS28,sp|Q9UK41|VPS28_HUMAN,Vacuolar protein sorting-associated protein 28 homolog OS=Homo sapiens OX=9606 GN=VPS28 PE=1 SV=1
INHBE,2460,0.57,0.14,0.25,0,0,0.02,5.489354043,0.000328535,0.000328535,INHBE,NP_113667.1,inhibin beta E chain preproprotein [Homo sapiens],GO:0005576;GO:0060395;GO:0005125;GO:0005179;GO:0010862;GO:0008083;GO:0062023;GO:0005615,extracellular region;SMAD protein signal transduction;cytokine activity;hormone activity;positive regulation of pathway-restricted SMAD protein phosphorylation;growth factor activity;collagen-containing extracellular matrix;extracellular space,K22689,INHBE,http://www.genome.jp/dbget-bin/www_bget?ko:K22689,Signaling pathways regulating pluripotency of stem cells;TGF-beta signaling pathway;Cytokine-cytokine receptor interaction,"ko04550,ko04350,ko04060",-,-,sp|P58166|INHBE_HUMAN,Inhibin beta E chain OS=Homo sapiens OX=9606 GN=INHBE PE=1 SV=1
GAS1,3145,2.79,2.1,2.39,1.1,1.33,1.27,1.04203709,3.48E-05,3.48E-05,GAS1,XP_017508677.2,growth arrest-specific protein 1 [Manis javanica],GO:0010955;GO:0008589;GO:0045165;GO:0035924;GO:0045930;GO:0046658;GO:0007050;GO:0005886;GO:0016021;GO:0060628;GO:0048589;GO:0042981,negative regulation of protein processing;regulation of smoothened signaling pathway;cell fate commitment;cellular response to vascular endothelial growth factor stimulus;negative regulation of mitotic cell cycle;anchored component of plasma membrane;regulation of cell cycle;plasma membrane;integral component of membrane;regulation of ER to Golgi vesicle-mediated transport;developmental growth;regulation of apoptotic process,K06232,GAS1,http://www.genome.jp/dbget-bin/www_bget?ko:K06232,Hedgehog signaling pathway,ko04340,-,-,sp|P54826|GAS1_HUMAN,Growth arrest-specific protein 1 OS=Homo sapiens OX=9606 GN=GAS1 PE=2 SV=2
LMCD1,4465,5.69,5.52,5.66,3.08,2.68,2.7,1.079508745,4.54E-14,4.54E-14,LMCD1,NP_001265164.1;NP_055398.1;NP_001265163.1,LIM and cysteine-rich domains protein 1 isoform 4 [Homo sapiens];LIM and cysteine-rich domains protein 1 isoform 1 [Homo sapiens];LIM and cysteine-rich domains protein 1 isoform 3 [Homo sapiens],GO:0044267;GO:0010611;GO:0005737;GO:0005654;GO:0008270;GO:0005634;GO:0000122;GO:0070886;GO:0003714,cellular protein metabolic process;regulation of cardiac muscle hypertrophy;cytoplasm;nucleoplasm;zinc ion binding;nucleus;negative regulation of transcription by RNA polymerase II;positive regulation of calcineurin-NFAT signaling cascade;transcription corepressor activity,K24417,LMCD1,http://www.genome.jp/dbget-bin/www_bget?ko:K24417,-,-,KOG1704,FOG: LIM domain,sp|Q9NZU5|LMCD1_HUMAN,LIM and cysteine-rich domains protein 1 OS=Homo sapiens OX=9606 GN=LMCD1 PE=1 SV=1
APOL6,10065,6.31,5.29,5.64,2.33,2.19,2.5,1.366467128,1.68E-38,1.68E-38,APOL6,NP_085144.1,apolipoprotein L6 [Homo sapiens],GO:0005737;GO:0042157;GO:0008289;GO:0005576;GO:0016021;GO:0006869,cytoplasm;lipoprotein metabolic process;lipid binding;extracellular region;integral component of membrane;lipid transport,K14480,APOL,http://www.genome.jp/dbget-bin/www_bget?ko:K14480,-,-,-,-,sp|Q9BWW8|APOL6_HUMAN,Apolipoprotein L6 OS=Homo sapiens OX=9606 GN=APOL6 PE=1 SV=1
